LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID162835,162835,14,1.379959225654602,994.3080932588157,2023.1544614953664,0.0,55.0,55,11.5,1,,62.88343558282209,50.0,16.0,171.0,30750.0,34.30774287182805,0.3545959639023545,0.9596174151426294
ID162832,162832,12,0.19269293546676636,2383.901798957314,1989.9705116078628,0.0,55.0,55,11.5,1,,35.24744376278119,35.0,10.0,55.0,17236.0,6.861788245018529,0.07360122875076251,0.7043076008572857
ID162833,162833,67,0.2489883452653885,0.0,2018.0,0.0,55.0,55,11.5,1,,51.40695296523517,64.0,0.0,106.0,25138.0,30.552964505622004,0.1469037164471855,0.43102685124918594
ID162838,162838,65,0.17579442262649536,287.0,2047.0,0.0,55.0,55,11.5,1,,28.482617586912067,34.0,0.0,61.0,13928.0,17.49977179297861,0.16720017790130684,0.4663037408065401
ID162836,162836,13,0.16222304105758667,1729.0265104830034,2023.4724119033542,0.0,55.0,55,11.5,1,,38.06748466257669,39.0,22.0,58.0,18615.0,5.7307720215858655,0.06152569805176284,0.7700112718145531
ID162837,162837,15,0.5911751389503479,0.0,2047.0,0.0,55.0,55,11.5,1,,49.75255623721881,60.0,0.0,126.0,24329.0,45.405167325830696,0.3120627475443613,0.5212276395460974
ID162806,162806,17,0.1997710019350052,2004.3309696574108,169.43857481082216,0.0,55.0,55,11.5,1,,35.190184049079754,35.0,8.0,55.0,17208.0,6.5645147779051625,0.08792209368311509,0.8664612170359063
ID162807,162807,18,0.25250402092933655,2596.375245507646,248.4488341082015,0.0,55.0,55,11.5,1,,36.942740286298566,37.0,13.0,56.0,18065.0,7.619592509867386,0.09964253108729171,0.8786594378891456
ID162804,162804,19,0.3337593376636505,652.2679171188552,77.99196788217384,0.0,55.0,55,11.5,1,,37.333333333333336,37.0,18.0,56.0,18256.0,6.482110733614606,0.16205358555024835,1.606359726627179
ID162805,162805,20,0.21634915471076965,1989.596781042194,158.05898836609373,0.0,55.0,55,11.5,1,,35.45807770961145,35.0,12.0,53.0,17339.0,6.526646295839695,0.0968053536835575,0.9590139405550402
ID162810,162810,22,0.9906238317489624,2763.6069244209457,552.2252395788349,0.0,55.0,55,11.5,1,,51.100204498977504,41.0,14.0,156.0,24988.0,28.706331410907396,0.26012712024995094,0.7349304032097087
ID162811,162811,21,0.1738695353269577,703.4531760988668,558.0840931333984,0.0,55.0,55,11.5,1,,28.503067484662576,29.0,8.0,46.0,13938.0,6.2302549415597674,0.08878666474114452,0.7461406951336493
ID162808,162808,23,0.318350613117218,1992.6383292014461,275.80570819753564,0.0,55.0,55,11.5,1,,38.850715746421265,39.0,22.0,57.0,18998.0,6.699049089831244,0.1432301523103587,1.4531707347333247
ID162809,162809,68,0.10685405135154724,224.98795655076702,416.8903895450556,0.0,55.0,55,11.5,1,,27.038854805725972,27.0,11.0,50.0,13222.0,5.538661020405327,0.04355084623665392,0.4074707952498712
